	tokens1Source	tokens1AlignRaw	tokens2Source	tokens2AlignRaw
17998	ilec	ilec		
17999	»	»		
18000	le	le		
18001	troupeau	troupeau		
18002	écaillé	écaillé		
18003	,	,		
18004	où	où		
18005	le	le		
18006	coutre	coutre		
18007	tranchant	tranchant		
18008	du	du		
18009	ménager	ménager		
18010	Laboureur	Laboureur		
18011	piéça	piéça		
18012	se	se		
18013	promenait	promenait		
18014	.	.		
18015	Ainsi	Ainsi		
18016	mes	mes		
18017	espérances	espérances		
18018	ne	ne		
18019	pouvant	pouvant		
18020	plus	plus		
18021	tenir	tenir		
18022	contre	contre		
18023	l	l		
18024	’	’		
18025	impétuosité	impétuosité		
18026	de	de		
18027	mon	mon		
18028	déplaisir	déplaisir		
18029	,	,		
18030	l	l		
18031	’	’		
18032	Huissier	Huissier		
18033	de	de		
18034	ma	ma		
18035	tristesse	tristesse		
18036	,	,		
18037	tenant	tenant		
18038	en	en		
18039	main	main		
18040	la	la		
18041	baguette	baguette		
18042	de	de		
18043	mes	mes		
18044	soupirs	soupirs		
18045	,	,		
18046	a	a		
18047	fait	fait		
18048	faire	faire		
18049	place	place		
18050	à	à		
18051	la	la		
18052	grandeur	grandeur		
18053	de	de		
18054	mes	mes		
18055	douleurs	douleurs		
18056	;	;		
18057	j	j		
18058	’	’		
18059	ai	ai		
18060	débarricadé	débarricadé		
18061	mes	mes		
18062	clameurs	clameurs		
18063	,	,		
18064	lâché	lâché		
18065	la	la		
18066	bride	bride		
18067	à	à		
18068	mes	mes		
18069	sanglots	sanglots		
18070	,	,		
18071	donné	donné		
18072	de	de		
18073	l	l		
18074	’	’		
18075	éperon	éperon		
18076	à	à		
18077	mes	mes		
18078	larmes	larmes		
18079	,	,		
18080	et	et		
18081	fouetté	fouetté		
18082	mes	mes		
18083	cris	cris		
18084	devant	devant		
18085	moi	moi		
18086	.	.		
18087	Ils	Ils		
18088	feront	feront		
18089	bon	bon		
18090	voyage	voyage		
18091	,	,		
18092	car	car		
18093	il	il		
18094	me	me		
18095	semble	semble		
18096	que	que		
18097	je	je		
18098	vois	vois		
18099	déjà	déjà		
18100	la	la		
18101	sentinelle	sentinelle		
18102	avancée	avancée		
18103	de	de		
18104	votre	votre		
18105	bonté	bonté		
18106	paraître	paraître		
18107	entre	entre		
18108	les	les		
18109	créneaux	créneaux		
18110	et	et		
18111	sur	sur		
18112	la	la		
18113	plate	plate		
18114	-	-		
18115	forme	forme		
18116	de	de		
18117	vos	vos		
18118	grâces	grâces		
18119	,	,		
18120	qui	qui		
18121	crie	crie		
18122	à	à		
18123	mes	mes		
18124	soupirs	soupirs		
18125	:	:		
18126	«	«		
18127	Qui	Qui		
18128	va	va		
18129	là	là		
18130	»	»		
18131	?	?		
18132	Puis	Puis		
18133	,	,		
18134	ayant	ayant		
18135	appelé	appelé		
18136	le	le		
18137	Caporal	Caporal		
18138	de	de		
18139	votre	votre		
18140	jugement	jugement		
18141	,	,		
18142	donné	donné		
18143	l	l		
18144	’	’		
18145	alarme	alarme		
18146	au	au		
18147	Corps	Corps		
18148	de	de		
18149	garde	garde		
18150	de	de		
18151	vos	vos		
18152	pudicités	pudicités		
18153	,	,		
18154	demandé	demandé		
18155	le	le		
18156	mot	mot		
18157	du	du		
18158	guet	guet		
18159	à	à		
18160	mes	mes		
18161	soupirs	soupirs		
18162	,	,		
18163	les	les		
18164	avoir	avoir		
18165	reconnus	reconnus		
18166	pour	pour		
18167	amis	amis		
18168	,	,		
18169	laissé	laissé		
18170	passer	passer		
18171	à	à		
18172	cause	cause		
18173	du	du		
18174	paquet	paquet		
18175	de	de		
18176	persévérance	persévérance		
18177	,	,		
18178	et	et		
18179	bref	bref		
18180	les	les		
18181	articles	articles		
18182	de	de		
18183	bonne	bonne		
18184	intention	intention		
18185	signés	signés		
18186	de	de		
18187	l	l		
18188	’	’		
18189	Amant	Amant		
18190	et	et		
18191	de	de		
18192	l	l		
18193	’	’		
18194	Aimée	Aimée		
18195	,	,		
18196	voir	voir		
18197	la	la		
18198	Paix	Paix		
18199	universelle	universelle		
18200	entre	entre		
18201	les	les		
18202	deux	deux		
18203	États	États		
18204	de	de		
18205	notre	notre		
18206	Foi	Foi		
18207	matrimoniale	matrimoniale		
18208	régner	régner		
18209	ès	ès		
18210	siècles	siècles		
18211	des	des		
18212	siècles	siècles		
18213	.	.		
18214	Genevote	Genevote		
18215	Amen	Amen		
18216	.	.		
18217	Granger	Granger		
18218	Donc	Donc		
18219	,	,		
18220	pour	pour		
18221	nous	nous		
18222	y	y		
18223	acheminer	acheminer		
18224	,	,		
18225	soyez	soyez		
18226	comme	comme		
18227	un	un		
18228	Jupiter	Jupiter		
18229	qui	qui		
18230	s	s		
18231	’	’		
18232	apaise	apaise		
18233	par	par		
18234	de	de		
18235	l	l		
18236	’	’		
18237	encens	encens		
18238	;	;		
18239	je	je		
18240	serai	serai		
18241	comme	comme		
18242	Alexandre	Alexandre		
18243	à	à		
18244	vous	vous		
18245	en	en		
18246	prodiguer	prodiguer		
18247	.	.		
18248	Soyez	Soyez		
18249	de	de		
18250	même	même		
18251	que	que		
18252	le	le		
18253	Lion	Lion		
18254	qui	qui		
18255	se	se		
18256	laisse	laisse		
18257	fléchir	fléchir		
18258	par	par		
18259	les	les		
18260	larmes	larmes		
18261	;	;		
18262	je	je		
18263	serai	serai		
18264	de	de		
18265	même	même		
18266	qu	qu		
18267	’	’		
18268	Héraclite	Héraclite		
18269	à	à		
18270	force	force		
18271	de	de		
18272	pleurer	pleurer		
18273	.	.		
18274	Soyez	Soyez		
18275	tout	tout		
18276	ainsi	ainsi		
18277	que	que		
18278	le	le		
18279	Naphte	Naphte		
18280	auprès	auprès		
18281	du	du		
18282	feu	feu		
18283	;	;		
18284	et	et		
18285	je	je		
18286	serai	serai		
18287	tout	tout		
18288	ainsi	ainsi		
18289	que	que		
18290	le	le		
18291	Mont	Mont		
18292	Etna	Etna		
18293	,	,		
18294	qui	qui		
18295	ne	ne		
18296	saurait	saurait		
18297	s	s		
18298	’	’		
18299	éteindre	éteindre		
18300	.	.		
18301	Soyez	Soyez		
18302	ne	ne		
18303	plus	plus		
18304	ne	ne		
18305	moins	moins		
18306	que	que		
18307	le	le		
18308	bon	bon		
18309	Terroir	Terroir		
18310	qui	qui		
18311	rend	rend		
18312	ce	ce		
18313	qu	qu		
18314	’	’		
18315	on	on		
18316	lui	lui		
18317	prête	prête		
18318	;	;		
18319	et	et		
18320	je	je		
18321	serai	serai		
18322	ne	ne		
18323	plus	plus		
18324	né	né		
18325	moins	moins		
18326	que	que		
18327	Triptolème	Triptolème		
18328	à	à		
18329	vous	vous		
18330	ensemencer	ensemencer		
18331	.	.		
18332	Soyez	Soyez		
18333	ainsi	ainsi		
18334	que	que		
18335	les	les		
18336	Abeilles	Abeilles		
18337	qui	qui		
18338	changent	changent		
18339	en	en		
18340	miel	miel		
18341	les	les		
18342	fleurs	fleurs		
18343	;	;		
18344	et	et		
18345	les	les		
18346	fleurs	fleurs		
18347	de	de		
18348	ma	ma		
18349	rhétorique	rhétorique		
18350	,	,		
18351	ainsi	ainsi		
18352	que	que		
18353	celles	celles		
18354	d	d		
18355	’	’		
18356	Attique	Attique		
18357	,	,		
18358	se	se		
18359	chargeront	chargeront		
18360	de	de		
18361	Manne	Manne		
18362	.	.		
18363	Soyez	Soyez		
18364	telle	telle		
18365	en	en		
18366	fermeté	fermeté		
18367	que	que		
18368	la	la		
18369	Remore	Remore		
18370	qui	qui		
18371	bride	bride		
18372	la	la		
18373	Nef	Nef		
18374	au	au		
18375	plus	plus		
18376	fort	fort		
18377	de	de		
18378	la	la		
18379	tempête	tempête		
18380	;	;		
18381	et	et		
18382	je	je		
18383	serai	serai		
18384	tel	tel		
18385	que	que		
18386	le	le		
18387	Vaisseau	Vaisseau		
18388	de	de		
18389	Caligula	Caligula		
18390	qui	qui		
18391	en	en		
18392	fut	fut		
18393	arrêté	arrêté		
18394	.	.		
18395	«	«		
18396	Ne	Ne		
18397	multus	multus		
18398	sim	sim		
18399	»	»		
18400	,	,		
18401	soyez	soyez		
18402	à	à		
18403	la	la		
18404	façon	façon		
18405	des	des		
18406	Trous	Trous		
18407	qui	qui		
18408	ne	ne		
18409	refusent	refusent		
18410	point	point		
18411	de	de		
18412	mortier	mortier		
18413	;	;		
18414	et	et		
18415	je	je		
18416	serai	serai		
18417	à	à		
18418	la	la		
18419	façon	façon		
18420	de	de		
18421	la	la		
18422	Truelle	Truelle		
18423	qui	qui		
18424	bouchera	bouchera		
18425	votre	votre		
18426	crevasse	crevasse		
18427	.	.		
18428	Genevote	Genevote		
18429	Vraiment	Vraiment		
18430	,	,		
18431	Monsieur	Monsieur		
18432	,	,		
18433	quoique	quoique		
18434	vous	vous		
18435	soyez	soyez		
18436	incomparable	incomparable		
18437	,	,		
18438	vous	vous		
18439	n	n		
18440	’	’		
18441	êtes	êtes		
18442	pas	pas		
18443	un	un		
18444	homme	homme		
18445	sans	sans		
18446	comparaison	comparaison		
18447	.	.		
18448	Granger	Granger		
18449	Ce	Ce		
18450	n	n		
18451	’	’		
18452	est	est		
18453	pas	pas		
18454	par	par		
18455	la	la		
18456	Métaphore	Métaphore		
18457	seule	seule		
18458	,	,		
18459	pain	pain		
18460	quotidien	quotidien		
18461	des	des		
18462	Scholares	Scholares		
18463	,	,		
18464	que	que		
18465	je	je		
18466	prétends	prétends		
18467	capter	capter		
18468	votre	votre		
18469	bénévolence	bénévolence		
18470	.	.		
18471	Voyons	Voyons		
18472	si	si		
18473	mes	mes		
18474	arguments	arguments		
18475	trouveront	trouveront		
18476	forme	forme		
18477	à	à		
18478	votre	votre		
18479	pied	pied		
18480	;	;		
18481	car	car		
18482	si	si		
18483	ce	ce		
18484	contingent	contingent		
18485	Métaphysique	Métaphysique		
18486	avait	avait		
18487	couru	couru		
18488	du	du		
18489	«	«		
18490	Possibile	Possibile		
18491	ad	ad		
18492	factum	factum		
18493	»	»		
18494	,	,		
18495	je	je		
18496	jure	jure		
18497	par	par		
18498	toutes	toutes		
18499	les	les		
18500	Eaux	Eaux		
18501	infernales	infernales		
18502	,	,		
18503	par	par		
18504	les	les		
18505	Palus	Palus		
18506	trois	trois		
18507	fois	fois		
18508	saints	saints		
18509	du	du		
18510	Cocyte	Cocyte		
18511	et	et		
18512	du	du		
18513	Styx	Styx		
18514	,	,		
18515	par	par		
18516	la	la		
18517	Couronne	Couronne		
18518	de	de		
18519	fer	fer		
18520	de	de		
18521	l	l		
18522	’	’		
18523	enfumé	enfumé		
18524	Pluton	Pluton		
18525	,	,		
18526	par	par		
18527	l	l		
18528	’	’		
18529	éternel	éternel		
18530	Cadenas	Cadenas		
18531	du	du		
18532	Silence	Silence		
18533	,	,		
18534	par	par		
18535	la	la		
18536	Béquille	Béquille		
18537	de	de		
18538	Vulcain	Vulcain		
18539	,	,		
18540	bref	bref		
18541	par	par		
18542	l	l		
18543	’	’		
18544	Enthousiasme	Enthousiasme		
18545	prophétique	prophétique		
18546	du	du		
18547	Tripied	Tripied		
18548	Sibyllin	Sibyllin		
18549	,	,		
18550	de	de		
18551	vous	vous		
18552	rendre	rendre		
18553	en	en		
18554	beauté	beauté		
18555	,	,		
18556	non	non		
18557	point	point		
18558	la	la		
18559	Déesse	Déesse		
18560	Paphienne	Paphienne		
18561	,	,		
18562	mais	mais		
18563	celle	celle		
18564	qui	qui		
18565	fera	fera		
18566	honte	honte		
18567	à	à		
18568	celle	celle		
18569	-	-		
18570	là	là		
18571	.	.		
18572	Et	Et		
18573	pour	pour		
18574	en	en		
18575	descendre	descendre		
18576	aux	aux		
18577	preuves	preuves		
18578	,	,		
18579	j	j		
18580	’	’		
18581	argumente	argumente		
18582	ainsi	ainsi		
18583	.	.		
18584	Du	Du		
18585	Monde	Monde		
18586	,	,		
18587	la	la		
18588	plus	plus		
18589	belle	belle		
18590	partie	partie		
18591	,	,		
18592	c	c		
18593	’	’		
18594	est	est		
18595	l	l		
18596	’	’		
18597	Europe	Europe		
18598	.	.		
18599	La	La		
18600	plus	plus		
18601	belle	belle		
18602	partie	partie		
18603	de	de		
18604	l	l		
18605	’	’		
18606	Europe	Europe		
18607	,	,		
18608	c	c		
18609	’	’		
18610	est	est		
18611	la	la		
18612	France	France		
18613	,	,		
18614	«	«		
18615	Secundum	Secundum		
18616	geographos	geographos		
18617	»	»		
18618	.	.		
18619	La	La		
18620	plus	plus		
18621	belle	belle		
18622	Ville	Ville		
18623	de	de		
18624	France	France		
18625	,	,		
18626	c	c		
18627	’	’		
18628	est	est		
18629	Paris	Paris		
18630	.	.		
18631	Le	Le		
18632	plus	plus		
18633	beau	beau		
18634	quartier	quartier		
18635	de	de		
18636	Paris	Paris		
18637	,	,		
18638	c	c		
18639	’	’		
18640	est	est		
18641	l	l		
18642	’	’		
18643	Université	Université		
18644	,	,		
18645	«	«		
18646	Propter	Propter		
18647	musas	musas		
18648	»	»		
18649	.	.		
18650	Le	Le		
18651	plus	plus		
18652	beau	beau		
18653	Collège	Collège		
18654	de	de		
18655	l	l		
18656	’	’		
18657	Université	Université		
18658	,	,		
18659	je	je		
18660	soutiens	soutiens		
18661	,	,		
18662	à	à		
18663	la	la		
18664	barbe	barbe		
18665	de	de		
18666	Sorbonne	Sorbonne		
18667	,	,		
18668	de	de		
18669	Navarre	Navarre		
18670	et	et		
18671	de	de		
18672	Harcourt	Harcourt		
18673	,	,		
18674	que	que		
18675	c	c		
18676	’	’		
18677	est	est		
18678	Beauvais	Beauvais		
18679	;	;		
18680	et	et		
18681	son	son		
18682	nom	nom		
18683	est	est		
18684	le	le		
18685	répondant	répondant		
18686	de	de		
18687	sa	sa		
18688	beauté	beauté		
18689	,	,		
18690	puisqu	puisqu		
18691	’	’		
18692	on	on		
18693	le	le		
18694	nomma	nomma		
18695	Beauvais	Beauvais		
18696	,	,		
18697	«	«		
18698	quasi	quasi		
18699	»	»		
18700	beau	beau		
18701	à	à		
18702	voir	voir		
18703	.	.		
18704	La	La		
18705	plus	plus		
18706	belle	belle		
18707	Chambre	Chambre		
18708	de	de		
18709	Beauvais	Beauvais		
18710	,	,		
18711	c	c		
18712	’	’		
18713	est	est		
18714	la	la		
18715	mienne	mienne		
18716	.	.		
18717	«	«		
18718	Atqui	Atqui		
18719	»	»		
18720	le	le		
18721	plus	plus		
18722	beau	beau		
18723	de	de		
18724	ma	ma		
18725	Chambre	Chambre		
18726	,	,		
18727	c	c		
18728	’	’		
18729	est	est		
18730	moi	moi		
18731	.	.		
18732	«	«		
18733	Ergo	Ergo		
18734	»	»		
18735	,	,		
18736	je	je		
18737	suis	suis		
18738	le	le		
18739	plus	plus		
18740	beau	beau		
18741	du	du		
18742	monde	monde		
18743	.	.		
18744	«	«		
18745	Et	Et		
18746	hinc	hinc		
18747	infero	infero		
18748	»	»		
18749	que	que		
18750	vous	vous		
18751	,	,		
18752	Pucelette	Pucelette		
18753	Mignardelette	Mignardelette		
18754	,	,		
18755	Mignardelette	Mignardelette		
18756	Pucelette	Pucelette		
18757	,	,		
18758	étant	étant		
18759	encore	encore		
18760	plus	plus		
18761	belle	belle		
18762	que	que		
18763	moi	moi		
18764	,	,		
18765	il	il		
18766	serait	serait		
18767	,	,		
18768	je	je		
18769	dis	dis		
18770	«	«		
18771	Sole	Sole		
18772	ipso	ipso		
18773	clarius	clarius		
18774	»	»		
18775	,	,		
18776	que	que		
18777	vous	vous		
18778	incorporant	incorporant		
18779	au	au		
18780	Corps	Corps		
18781	de	de		
18782	l	l		
18783	’	’		
18784	Université	Université		
18785	en	en		
18786	vous	vous		
18787	incorporant	incorporant		
18788	au	au		
18789	mien	mien		
18790	,	,		
18791	vous	vous		
18792	seriez	seriez		
18793	plus	plus		
18794	belle	belle		
18795	que	que		
18796	le	le		
18797	plus	plus		
18798	beau	beau		
18799	du	du		
18800	monde	monde		
18801	.	.		
18802	Genevote	Genevote		
18803	Vraiment	Vraiment		
18804	si	si		
18805	j	j		
18806	’	’		
18807	avais	avais		
18808	dormi	dormi		
18809	une	une		
18810	nuit	nuit		
18811	auprès	auprès		
18812	de	de		
18813	vous	vous		
18814	,	,		
18815	je	je		
18816	serais	serais		
18817	docte	docte		
18818	comme	comme		
18819	Hésiode	Hésiode		
18820	,	,		
18821	pour	pour		
18822	avoir	avoir		
18823	dormi	dormi		
18824	sur	sur		
18825	le	le		
18826	Parnasse	Parnasse		
18827	.	.		
18828	Granger	Granger		
18829	Mais	Mais		
18830	j	j		
18831	’	’		
18832	ai	ai		
18833	d	d		
18834	’	’		
18835	autres	autres		
18836	armes	armes		
18837	encore	encore		
18838	qui	qui		
18839	sont	sont		
18840	toutes	toutes		
18841	neuves	neuves		
18842	à	à		
18843	force	force		
18844	d	d		
18845	’	’		
18846	être	être		
18847	vieilles	vieilles		
18848	,	,		
18849	dont	dont		
18850	je	je		
18851	présume	présume		
18852	outrepercer	outrepercer		
18853	votre	votre		
18854	tendrelette	tendrelette		
18855	poitrine	poitrine		
18856	.	.		
18857	C	C		
18858	’	’		
18859	est	est		
18860	l	l		
18861	’	’		
18862	Éloquence	Éloquence		
18863	du	du		
18864	franc	franc		
18865	Gaulois	Gaulois		
18866	.	.		
18867	Or	Or		
18868	oyez	oyez		
18869	.	.		
18870	Et	Et		
18871	déa	déa		
18872	,	,		
18873	Reine	Reine		
18874	de	de		
18875	haut	haut		
18876	parage	parage		
18877	,	,		
18878	Mie	Mie		
18879	de	de		
18880	mes	mes		
18881	pensées	pensées		
18882	,	,		
18883	Crème	Crème		
18884	,	,		
18885	Fleur	Fleur		
18886	et	et		
18887	Parangon	Parangon		
18888	des	des		
18889	infantes	infantes		
18890	,	,		
18891	vous	vous		
18892	qui	qui		
18893	chevauchez	chevauchez		
18894	par	par		
18895	«	«		
18896	illec	illec		
18897	»	»		
18898	du	du		
18899	fin	fin		
18900	faîte	faîte		
18901	de	de		
18902	cestuy	cestuy		
18903	votre	votre		
18904	magnifique	magnifique		
18905	et	et		
18906	moult	moult		
18907	doucereux	doucereux		
18908	palefroy	palefroy		
18909	,	,		
18910	jouxte	jouxte		
18911	lequel	lequel		
18912	gésir	gésir		
18913	soûliez	soûliez		
18914	en	en		
18915	bonne	bonne		
18916	couche	couche		
18917	;	;		
18918	prenez	prenez		
18919	émoi	émoi		
18920	de	de		
18921	ma	ma		
18922	déconvenue	déconvenue		
18923	.	.		
18924	Las	Las		
18925	!	!		
18926	oyez	oyez		
18927	le	le		
18928	méchef	méchef		
18929	d	d		
18930	’	’		
18931	un	un		
18932	dolent	dolent		
18933	moribond	moribond		
18934	qui	qui		
18935	,	,		
18936	crevé	crevé		
18937	d	d		
18938	’	’		
18939	anhan	anhan		
18940	sur	sur		
18941	un	un		
18942	chétif	chétif		
18943	grabat	grabat		
18944	,	,		
18945	onques	onques		
18946	ne	ne		
18947	sentit	sentit		
18948	au	au		
18949	cœur	cœur		
18950	joie	joie		
18951	.	.		
18952	Point	Point		
18953	ne	ne		
18954	boutez	boutez		
18955	en	en		
18956	sourde	sourde		
18957	obliviance	obliviance		
18958	cil	cil		
18959	à	à		
18960	qui	qui		
18961	piéça	piéça		
18962	Fortune	Fortune		
18963	porte	porte		
18964	guignon	guignon		
18965	.	.		
18966	Las	Las		
18967	!	!		
18968	hélas	hélas		
18969	!	!		
18970	réconfortez	réconfortez		
18971	un	un		
18972	pauvret	pauvret		
18973	en	en		
18974	marisson	marisson		
18975	,	,		
18976	à	à		
18977	qui	qui		
18978	il	il		
18979	conviendra	conviendra		
18980	soi	soi		
18981	gendarmer	gendarmer		
18982	contre	contre		
18983	soi	soi		
18984	,	,		
18985	s	s		
18986	’	’		
18987	occire	occire		
18988	,	,		
18989	ou	ou		
18990	se	se		
18991	déconfire	déconfire		
18992	par	par		
18993	quelqu	quelqu		
18994	’	’		
18995	autre	autre		
18996	tour	tour		
18997	de	de		
18998	mal	mal		
18999	engin	engin		
19000	,	,		
19001	se	se		
19002	ne	ne		
19003	vous	vous		
19004	garmantez	garmantez		
19005	de	de		
19006	lui	lui		
19007	donner	donner		
19008	soûlas	soûlas		
19009	;	;		
19010	car	car		
19011	de	de		
19012	finer	finer		
19013	ainsin	ainsin		
19014	piéça	piéça		
19015	ne	ne		
19016	luy	luy		
19017	chaut	chaut		
19018	.	.		
19019	Or	Or		
19020	soyez	soyez		
19021	ma	ma		
19022	Pucelle	Pucelle		
19023	aux	aux		
19024	yeux	yeux		
19025	vers	vers		
19026	comme	comme		
19027	un	un		
19028	Faucon	Faucon		
19029	,	,		
19030	quant	quant		
19031	à	à		
19032	moi	moi		
19033	je	je		
19034	serai	serai		
19035	votre	votre		
19036	coint	coint		
19037	Damoisel	Damoisel		
19038	,	,		
19039	qui	qui		
19040	,	,		
19041	par	par		
19042	rémunération	rémunération		
19043	d	d		
19044	’	’		
19045	une	une		
19046	si	si		
19047	grande	grande		
19048	merci	merci		
19049	,	,		
19050	se	se		
19051	aucune	aucune		
19052	chose	chose		
19053	avez	avez		
19054	à	à		
19055	besogner	besogner		
19056	de	de		
19057	son	son		
19058	avoir	avoir		
19059	,	,		
19060	à	à		
19061	tout	tout		
19062	son	son		
19063	tranchant	tranchant		
19064	glaive	glaive		
19065	il	il		
19066	redressera	redressera		
19067	vos	vos		
19068	torts	torts		
19069	,	,		
19070	et	et		
19071	défera	défera		
19072	vos	vos		
19073	griefs	griefs		
19074	;	;		
19075	il	il		
19076	déconfira	déconfira		
19077	des	des		
19078	Chevaliers	Chevaliers		
19079	félons	félons		
19080	;	;		
19081	il	il		
19082	hachera	hachera		
19083	des	des		
19084	Andriaques	Andriaques		
19085	;	;		
19086	il	il		
19087	fera	fera		
19088	des	des		
19089	Chapelis	Chapelis		
19090	inénarrables	inénarrables		
19091	,	,		
19092	il	il		
19093	martellera	martellera		
19094	des	des		
19095	Paladins	Paladins		
19096	ores	ores		
19097	à	à		
19098	dextre	dextre		
19099	,	,		
19100	ores	ores		
19101	à	à		
19102	senestre	senestre		
19103	;	;		
19104	bref	bref		
19105	tant	tant		
19106	et	et		
19107	si	si		
19108	beau	beau		
19109	joutera	joutera		
19110	,	,		
19111	qu	qu		
19112	’	’		
19113	il	il		
19114	n	n		
19115	’	’		
19116	y	y		
19117	aura	aura		
19118	pièce	pièce		
19119	de	de		
19120	fiers	fiers		
19121	,	,		
19122	orgueilleux	orgueilleux		
19123	,	,		
19124	outrecuidés	outrecuidés		
19125	,	,		
19126	et	et		
19127	démesurés	démesurés		
19128	Géants	Géants		
19129	,	,		
19130	lesquels	lesquels		
19131	en	en		
19132	dépit	dépit		
19133	des	des		
19134	armes	armes		
19135	Fées	Fées		
19136	,	,		
19137	et	et		
19138	du	du		
19139	Haubert	Haubert		
19140	de	de		
19141	fine	fine		
19142	trempe	trempe		
19143	,	,		
19144	il	il		
19145	ne	ne		
19146	pourfende	pourfende		
19147	jus	jus		
19148	les	les		
19149	arçons	arçons		
19150	.	.		
19151	Quel	Quel		
19152	ébaudissement	ébaudissement		
19153	de	de		
19154	voir	voir		
19155	adonc	adonc		
19156	issir	issir		
19157	le	le		
19158	sang	sang		
19159	,	,		
19160	à	à		
19161	grand	grand		
19162	randon	randon		
19163	,	,		
19164	du	du		
19165	flanc	flanc		
19166	pantois	pantois		
19167	de	de		
19168	l	l		
19169	’	’		
19170	endémèné	endémèné		
19171	Sarasin	Sarasin		
19172	;	;		
19173	et	et		
19174	pour	pour		
19175	festoiement	festoiement		
19176	de	de		
19177	cas	cas		
19178	tant	tant		
19179	beau	beau		
19180	,	,		
19181	se	se		
19182	voir	voir		
19183	léans	léans		
19184	guerdoné	guerdoné		
19185	d	d		
19186	’	’		
19187	un	un		
19188	los	los		
19189	de	de		
19190	plénière	plénière		
19191	Chevalerie	Chevalerie		
19192	.	.		
19193	Genevote	Genevote		
19194	Monsieur	Monsieur		
19195	,	,		
19196	il	il		
19197	est	est		
19198	vrai	vrai		
19199	,	,		
19200	je	je		
19201	ne	ne		
19202	le	le		
19203	puis	puis		
19204	celer	celer		
19205	,	,		
19206	c	c		
19207	’	’		
19208	est	est		
19209	à	à		
19210	ce	ce		
19211	coup	coup		
19212	que	que		
19213	je	je		
19214	rends	rends		
19215	les	les		
19216	armes	armes		
19217	.	.		
19218	Enfin	Enfin		
19219	je	je		
19220	m	m		
19221	’	’		
19222	abandonne	abandonne		
19223	toute	toute		
19224	à	à		
19225	vous	vous		
19226	.	.		
19227	Usez	Usez		
19228	de	de		
19229	moi	moi		
19230	aussi	aussi		
19231	librement	librement		
19232	que	que		
19233	le	le		
19234	Chat	Chat		
19235	fait	fait		
19236	de	de		
19237	la	la		
19238	Souris	Souris		
19239	:	:		
19240	rognez	rognez		
19241	,	,		
19242	tranchez	tranchez		
19243	,	,		
19244	taillez	taillez		
19245	;	;		
19246	faites	faites		
19247	-	-		
19248	en	en		
19249	comme	comme		
19250	des	des		
19251	Choux	Choux		
19252	de	de		
19253	votre	votre		
19254	jardin	jardin		
19255	.	.		
19256	Paquier	Paquier		
19257	Je	Je		
19258	trouve	trouve		
19259	pourtant	pourtant		
19260	bien	bien		
19261	du	du		
19262	«	«		
19263	distinguo	distinguo		
19264	»	»		
19265	entre	entre		
19266	les	les		
19267	Femmes	Femmes		
19268	et	et		
19269	les	les		
19270	Choux	Choux		
19271	;	;		
19272	car	car		
19273	des	des		
19274	Choux	Choux		
19275	la	la		
19276	tête	tête		
19277	en	en		
19278	est	est		
19279	bonne	bonne		
19280	,	,		
19281	et	et		
19282	des	des		
19283	Femmes	Femmes		
19284	,	,		
19285	c	c		
19286	’	’		
19287	est	est		
19288	ce	ce		
19289	qui	qui		
19290	n	n		
19291	’	’		
19292	en	en		
19293	vaut	vaut		
19294	rien	rien		
19295	.	.		
19296	Granger	Granger		
19297	Auriez	Auriez		
19298	-	-		
19299	vous	vous		
19300	donc	donc		
19301	agréable	agréable		
19302	,	,		
19303	Mademoiselle	Mademoiselle		
19304	,	,		
19305	lorsque	lorsque		
19306	la	la		
19307	nuit	nuit		
19308	au	au		
19309	visage	visage		
19310	de	de		
19311	More	More		
19312	,	,		
19313	aura	aura		
19314	,	,		
19315	de	de		
19316	ses	ses		
19317	haillons	haillons		
19318	noirs	noirs		
19319	,	,		
19320	embéguiné	embéguiné		
19321	le	le		
19322	minois	minois		
19323	souffreteux	souffreteux		
19324	de	de		
19325	notre	notre		
19326	Zénith	Zénith		
19327	;	;		
19328	que	que		
19329	je	je		
19330	transporte	transporte		
19331	mon	mon		
19332	individu	individu		
19333	aux	aux		
19334	Lares	Lares		
19335	domestiques	domestiques		
19336	de	de		
19337	votre	votre		
19338	toit	toit		
19339	,	,		
19340	pour	pour		
19341	humer	humer		
19342	à	à		
19343	longs	longs		
19344	traits	traits		
19345	votre	votre		
19346	Éloquence	Éloquence		
19347	melliflue	melliflue		
19348	,	,		
19349	et	et		
19350	faire	faire		
19351	sur	sur		
19352	votre	votre		
19353	couche	couche		
19354	un	un		
19355	sacrifice	sacrifice		
19356	à	à		
19357	la	la		
19358	Déesse	Déesse		
19359	tutélaire	tutélaire		
19360	de	de		
19361	Paphos	Paphos		
19362	?	?		
19363	Genevote	Genevote		
19364	Oui	Oui		
19365	,	,		
19366	venez	venez		
19367	,	,		
19368	mais	mais		
19369	venez	venez		
19370	avec	avec		
19371	une	une		
19372	échelle	échelle		
19373	,	,		
19374	et	et		
19375	montez	montez		
19376	par	par		
19377	ma	ma		
19378	fenêtre	fenêtre		
19379	,	,		
19380	car	car		
19381	mon	mon		
19382	frère	frère		
19383	serre	serre		
19384	tous	tous		
19385	les	les		
19386	jours	jours		
19387	les	les		
19388	clefs	clefs		
19389	de	de		
19390	notre	notre		
19391	maison	maison		
19392	sous	sous		
19393	son	son		
19394	chevet	chevet		
19395	.	.		
19396	Granger	Granger		
